,,,,,,,train_acc,train_pre,train_rec,train_f1,train_f2,train_auc,test_acc,test_pre,test_rec,test_f1,test_f2,test_auc,c_correct_percent
65536-rad,348-008,en,fc,adasyns,30,pre,1,1,1,1,1,1,0.961,0.727,1,0.842,0.93,0.976,
38324-rad,348-004,p,c,,300,pre,1,1,1,1,1,1,0.818,0.727,0.941,0.821,0.889,0.858,0.5
38324-ang,348-008,z,fc,smote,15,pre,1,1,1,1,1,1,0.948,0.786,0.917,0.846,0.887,0.967,
24-ang,348-004,ea,fc,,300,pre,1,1,1,1,1,1,0.87,0.842,0.889,0.865,0.879,0.884,1
38324-ang,348-004,ea,c,,200,pre,1,1,1,1,1,1,0.883,0.857,0.882,0.87,0.877,0.871,1
38324-ang,348-004,ea,fc,,200,pre,1,1,1,1,1,1,0.883,0.857,0.882,0.87,0.877,0.901,1
65536-ang,348-008,z,fc,adasyns,30,pre,1,1,1,1,1,1,0.974,0.875,0.875,0.875,0.875,0.938,
38324-ang,348-008,z,fc,adasyns,15,rec,0.993,0.996,0.991,0.993,0.992,1,0.935,0.733,0.917,0.815,0.873,0.905,
98765-ang,348-004,en,fc,,60,rec,1,1,1,1,1,1,0.844,0.805,0.892,0.846,0.873,0.832,1
38324-ang,348-004,ea,,,100,acc,1,1,1,1,1,1,0.87,0.833,0.882,0.857,0.872,0.876,0.5
65536-rad,348-008,en,fc,adasyns,15,f2,1,1,1,1,1,1,0.922,0.571,1,0.727,0.87,0.973,
38324-ang,348-004,ea,fc,,200,acc,1,1,1,1,1,1,0.857,0.811,0.882,0.845,0.867,0.888,0.5
98765-rad,348-004,r,fc,,300,f2,1,1,1,1,1,1,0.818,0.767,0.892,0.825,0.864,0.826,1
98765-rad,348-004,r,fc,,300,rec,1,1,1,1,1,1,0.818,0.767,0.892,0.825,0.864,0.826,1
38324-rad,348-004,p,fc,,300,f2,1,1,1,1,1,1,0.844,0.789,0.882,0.833,0.862,0.906,0.5
38324-rad,348-004,p,fc,,300,rec,1,1,1,1,1,1,0.844,0.789,0.882,0.833,0.862,0.906,0.5
38324-rad,348-008,r,fc,smote,60,f2,1,1,1,1,1,1,0.974,1,0.833,0.909,0.862,0.964,
24-ang,348-004,ea,fc,,300,rec,1,1,1,1,1,1,0.87,0.861,0.861,0.861,0.861,0.876,1
98765-ang,348-004,ea,fc,,200,f2,1,1,1,1,1,1,0.805,0.75,0.892,0.815,0.859,0.828,1
98765-ang,348-004,ea,fc,,200,rec,1,1,1,1,1,1,0.805,0.75,0.892,0.815,0.859,0.828,1
38324-rad,348-008,r,f,rando,100,rec,0.976,0.955,1,0.977,0.991,0.998,0.87,0.545,1,0.706,0.857,0.974,
24-ang,348-004,ea,fc,,300,f2,1,1,1,1,1,1,0.857,0.838,0.861,0.849,0.856,0.875,1
24-ang,348-004,ea,fc,,300,acc,1,1,1,1,1,1,0.857,0.838,0.861,0.849,0.856,0.875,1
24-ang,348-004,p,fc,,60,f2,0.996,0.992,1,0.996,0.998,1,0.857,0.838,0.861,0.849,0.856,0.876,0.5
14122-ang,348-004,p,f,,30,pre,1,1,1,1,1,1,0.805,0.744,0.889,0.81,0.856,0.866,1
65536-ang,348-008,en,fc,rando,30,acc,1,1,1,1,1,1,0.961,0.778,0.875,0.824,0.854,0.978,
38324-ang,348-004,ea,fc,,300,pre,1,1,1,1,1,1,0.87,0.853,0.853,0.853,0.853,0.885,0.5
14122-rad,348-004,z,c,,100,pre,1,1,1,1,1,1,0.792,0.727,0.889,0.8,0.851,0.799,1
14122-rad,348-004,z,c,,100,acc,1,1,1,1,1,1,0.792,0.727,0.889,0.8,0.851,0.799,1
1379-rad,348-004,ie,fc,,60,f2,1,1,1,1,1,1,0.831,0.8,0.865,0.831,0.851,0.833,1
98765-rad,348-004,r,fc,,300,acc,1,1,1,1,1,1,0.831,0.8,0.865,0.831,0.851,0.831,1
