,,,,,,accuracy,precision,recall,F-1,F-2,AUC,T-acc
rad,pri,p,-,300,acc,0.759,0.747,0.78,0.763,0.773,0.84,0.684
rad,pri,p,-,300,pre,0.758,0.749,0.771,0.76,0.766,0.839,0.679
rad,pri,p,-,200,f2,0.757,0.747,0.773,0.76,0.767,0.838,0.684
rad,pri,p,-,300,f2,0.757,0.745,0.778,0.761,0.771,0.838,0.683
rad,pri,p,-,300,rec,0.762,0.75,0.781,0.765,0.774,0.838,0.688
rad,pri,p,-,200,acc,0.76,0.748,0.781,0.764,0.774,0.836,0.688
rad,pri,p,-,200,pre,0.757,0.749,0.768,0.758,0.764,0.835,0.694
rad,pri,p,-,200,rec,0.757,0.745,0.776,0.76,0.769,0.835,0.682
rad,pri,p,-,100,rec,0.722,0.712,0.739,0.725,0.733,0.797,0.639
rad,pri,p,-,100,acc,0.72,0.717,0.724,0.72,0.722,0.792,0.633
rad,pri,p,-,100,pre,0.719,0.714,0.724,0.719,0.722,0.792,0.634
rad,pri,p,-,100,f2,0.717,0.71,0.727,0.719,0.724,0.791,0.627
rad,pri,p,-,60,acc,0.604,0.566,0.869,0.686,0.785,0.653,0.568
rad,pri,p,-,60,pre,0.604,0.566,0.867,0.685,0.784,0.651,0.569
rad,pri,p,-,60,rec,0.604,0.566,0.87,0.686,0.786,0.651,0.571
rad,pri,p,-,60,f2,0.604,0.566,0.869,0.686,0.785,0.649,0.571
rad,pri,p,-,30,f2,0.601,0.564,0.872,0.685,0.786,0.647,0.559
rad,pri,p,-,30,acc,0.6,0.564,0.865,0.683,0.782,0.645,0.557
rad,pri,p,-,30,pre,0.6,0.564,0.865,0.683,0.782,0.645,0.557
rad,pri,p,-,30,rec,0.599,0.562,0.872,0.684,0.786,0.642,0.556
rad,pri,p,-,15,f2,0.591,0.558,0.861,0.677,0.776,0.63,0.544
rad,pri,p,-,15,acc,0.591,0.558,0.857,0.676,0.774,0.628,0.551
rad,pri,p,-,15,rec,0.59,0.556,0.861,0.676,0.776,0.628,0.545
rad,pri,p,-,15,pre,0.588,0.556,0.85,0.672,0.769,0.624,0.549
