,,,,,,accuracy,precision,recall,F-1,F-2,AUC,T-acc
rad,pri,p,-,300,acc,0.769,0.741,0.804,0.771,0.791,0.849,0.676
rad,pri,p,-,300,f2,0.77,0.743,0.803,0.772,0.79,0.848,0.679
rad,pri,p,-,300,rec,0.766,0.741,0.795,0.767,0.784,0.846,0.679
rad,pri,p,-,300,pre,0.769,0.741,0.805,0.772,0.792,0.846,0.679
rad,pri,p,-,200,rec,0.76,0.735,0.791,0.762,0.779,0.839,0.661
rad,pri,p,-,200,pre,0.756,0.733,0.783,0.757,0.772,0.838,0.657
rad,pri,p,-,200,f2,0.762,0.74,0.785,0.761,0.775,0.838,0.664
rad,pri,p,-,200,acc,0.761,0.738,0.786,0.761,0.776,0.836,0.658
rad,pri,p,-,100,rec,0.75,0.731,0.765,0.748,0.758,0.828,0.661
rad,pri,p,-,100,acc,0.749,0.73,0.767,0.748,0.759,0.827,0.658
rad,pri,p,-,100,f2,0.749,0.73,0.767,0.748,0.759,0.827,0.658
rad,pri,p,-,100,pre,0.751,0.73,0.771,0.75,0.763,0.826,0.659
rad,pri,p,-,60,pre,0.722,0.705,0.734,0.719,0.728,0.795,0.631
rad,pri,p,-,60,f2,0.721,0.703,0.735,0.719,0.729,0.792,0.637
rad,pri,p,-,60,acc,0.717,0.7,0.731,0.715,0.724,0.786,0.625
rad,pri,p,-,60,rec,0.712,0.694,0.729,0.711,0.722,0.784,0.625
rad,pri,p,-,30,rec,0.66,0.649,0.651,0.65,0.651,0.727,0.581
rad,pri,p,-,30,f2,0.651,0.642,0.638,0.64,0.638,0.723,0.578
rad,pri,p,-,30,acc,0.653,0.65,0.617,0.633,0.624,0.719,0.579
rad,pri,p,-,30,pre,0.651,0.648,0.616,0.632,0.622,0.716,0.58
rad,pri,p,-,15,acc,0.643,0.663,0.535,0.592,0.557,0.686,0.596
rad,pri,p,-,15,rec,0.636,0.658,0.52,0.581,0.543,0.684,0.587
rad,pri,p,-,15,f2,0.636,0.658,0.52,0.581,0.543,0.684,0.587
rad,pri,p,-,15,pre,0.634,0.661,0.504,0.572,0.529,0.679,0.588
