,,,,,,accuracy,precision,recall,F-1,F-2,AUC,T-acc
rad,pri,p,-,200,pre,0.72,0.716,0.763,0.739,0.753,0.793,0.64
rad,pri,p,-,300,pre,0.72,0.716,0.763,0.739,0.753,0.793,0.64
rad,pri,p,-,200,acc,0.718,0.707,0.779,0.741,0.763,0.792,0.631
rad,pri,p,-,300,acc,0.718,0.707,0.779,0.741,0.763,0.792,0.631
rad,pri,p,-,200,f2,0.702,0.689,0.777,0.73,0.757,0.775,0.609
rad,pri,p,-,300,f2,0.702,0.689,0.777,0.73,0.757,0.775,0.609
rad,pri,p,-,100,pre,0.7,0.696,0.749,0.722,0.738,0.769,0.611
rad,pri,p,-,100,acc,0.701,0.697,0.751,0.723,0.74,0.769,0.617
rad,pri,p,-,100,f2,0.689,0.677,0.766,0.719,0.746,0.755,0.599
rad,pri,p,-,60,acc,0.648,0.648,0.703,0.674,0.691,0.713,0.55
rad,pri,p,-,60,pre,0.645,0.65,0.687,0.668,0.679,0.706,0.556
rad,pri,p,-,30,pre,0.643,0.646,0.688,0.667,0.68,0.7,0.562
rad,pri,p,-,30,acc,0.648,0.652,0.692,0.671,0.684,0.7,0.573
rad,pri,p,-,30,f2,0.644,0.648,0.691,0.669,0.682,0.698,0.556
rad,pri,p,-,15,acc,0.639,0.645,0.68,0.662,0.672,0.684,0.562
rad,pri,p,-,15,rec,0.638,0.644,0.678,0.661,0.671,0.681,0.563
rad,pri,p,-,15,f2,0.63,0.633,0.682,0.657,0.672,0.677,0.555
rad,pri,p,-,15,pre,0.623,0.632,0.656,0.644,0.651,0.676,0.546
rad,pri,p,-,60,f2,0.526,0.523,0.998,0.686,0.844,0.652,0.489
rad,pri,p,-,30,rec,0.519,0.519,1.0,0.683,0.844,0.588,0.489
rad,pri,p,-,100,rec,0.519,0.519,1.0,0.683,0.844,0.588,0.489
rad,pri,p,-,200,rec,0.519,0.519,1.0,0.683,0.844,0.587,0.489
rad,pri,p,-,300,rec,0.519,0.519,1.0,0.683,0.844,0.587,0.489
rad,pri,p,-,60,rec,0.519,0.519,1.0,0.683,0.844,0.587,0.489
