,,,,,,accuracy,precision,recall,F-1,F-2,AUC,T-acc
rad,pri,p,-,300,acc,0.735,0.712,0.763,0.737,0.752,0.806,0.631
rad,pri,p,-,200,acc,0.735,0.712,0.763,0.737,0.752,0.806,0.631
rad,pri,p,-,300,rec,0.731,0.707,0.76,0.733,0.749,0.804,0.631
rad,pri,p,-,200,rec,0.731,0.707,0.76,0.733,0.749,0.804,0.631
rad,pri,p,-,300,f2,0.731,0.707,0.76,0.733,0.749,0.804,0.631
rad,pri,p,-,200,f2,0.731,0.707,0.76,0.733,0.749,0.804,0.631
rad,pri,p,-,300,pre,0.729,0.709,0.749,0.728,0.74,0.801,0.631
rad,pri,p,-,200,pre,0.729,0.709,0.749,0.728,0.74,0.801,0.631
rad,pri,p,-,100,pre,0.714,0.689,0.748,0.717,0.735,0.784,0.618
rad,pri,p,-,100,acc,0.709,0.684,0.741,0.712,0.729,0.783,0.608
rad,pri,p,-,100,rec,0.713,0.687,0.75,0.717,0.736,0.777,0.615
rad,pri,p,-,100,f2,0.713,0.687,0.75,0.717,0.736,0.777,0.615
rad,pri,p,-,60,acc,0.669,0.652,0.678,0.665,0.673,0.729,0.587
rad,pri,p,-,60,pre,0.672,0.656,0.681,0.668,0.676,0.729,0.59
rad,pri,p,-,60,rec,0.662,0.643,0.684,0.663,0.675,0.72,0.575
rad,pri,p,-,60,f2,0.662,0.643,0.684,0.663,0.675,0.72,0.575
rad,pri,p,-,30,pre,0.659,0.644,0.666,0.654,0.661,0.716,0.574
rad,pri,p,-,30,acc,0.661,0.645,0.67,0.657,0.665,0.715,0.572
rad,pri,p,-,30,rec,0.659,0.641,0.675,0.658,0.668,0.705,0.574
rad,pri,p,-,30,f2,0.659,0.641,0.675,0.658,0.668,0.705,0.574
rad,pri,p,-,15,pre,0.635,0.623,0.627,0.625,0.626,0.684,0.553
rad,pri,p,-,15,rec,0.632,0.622,0.616,0.619,0.617,0.683,0.55
rad,pri,p,-,15,f2,0.632,0.622,0.616,0.619,0.617,0.683,0.55
rad,pri,p,-,15,acc,0.631,0.619,0.621,0.62,0.621,0.681,0.548
